Category,Sub Category,Name,Description,Nutritional value,Allergens
Breakfast,Hardee’s® Made from Scratch Biscuits™,"Sausage, Egg & Cheese Biscuit ","A folded egg, sausage patty and American cheese  on a freshly-baked Made from Scratch Biscuit™.","{'Serving Size': '186g', 'Calories': '610', 'Calories from Fat': '380', 'Fat': '42g', 'Saturated Fat': '18g', 'Trans Fat': '0g', 'Cholesterol': '200mg', 'Sodium': '1380mg', 'Carbohydrates': '38g', 'Dietary Fiber': '2g', 'Sugars': '3g', 'Protein': '20g'}","Egg, Milk, Soy, Wheat"
Breakfast,Burritos and more,Ham Grilled Cheese Breakfast Sandwich ,"The Grilled Cheese Breakfast Sandwich loaded with American and Swiss Cheese, Folded Egg, and Ham.","{'Serving Size': '202g', 'Calories': '500', 'Calories from Fat': '230', 'Fat': '26g', 'Saturated Fat': '10g', 'Trans Fat': '0.5g', 'Cholesterol': '210mg', 'Sodium': '1610mg', 'Carbohydrates': '43g', 'Dietary Fiber': '2g', 'Sugars': '4g', 'Protein': '34g'}","Egg, Milk, Soy, Wheat"
Breakfast,Burritos and more,Loaded Breakfast Burrito,"Scrambled Eggs, Sausage, Ham, Bacon Bits, Hash Rounds®,Shredded Cheese, and Fresh Salsa Wrapped in a Warm Flour Tortilla.","{'Serving Size': '301g', 'Calories': '760', 'Calories from Fat': '430', 'Fat': '48g', 'Saturated Fat': '16g', 'Trans Fat': '0g', 'Cholesterol': '370mg', 'Sodium': '1330mg', 'Carbohydrates': '46g', 'Dietary Fiber': '3g', 'Sugars': '2g', 'Protein': '33g'}","Egg, Milk, Soy, Wheat"
Breakfast,Hardee’s® Made from Scratch Biscuits™,Made From Scratch Biscuit™,"Freshly-baked daily, Made from Scratch Biscuit™.","{'Serving Size': '86g', 'Calories': '290', 'Calories from Fat': '120', 'Fat': '13g', 'Saturated Fat': '7g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '730mg', 'Carbohydrates': '37g', 'Dietary Fiber': '2g', 'Sugars': '2g', 'Protein': '6g'}","Milk, Soy, Wheat"
Breakfast,Burritos and more,Big Country® Breakfast Burrito,"Warm sausage gravy, smothered over scrambled eggs, sausage, ham, bacon bits, Hash Rounds®, and shredded cheese, all wrapped in a warm flour tortilla.","{'Serving Size': '259g', 'Calories': '660', 'Calories from Fat': '360', 'Fat': '40g', 'Saturated Fat': '12g', 'Trans Fat': '0g', 'Cholesterol': '345mg', 'Sodium': '1140mg', 'Carbohydrates': '45g', 'Dietary Fiber': '2g', 'Sugars': '1g', 'Protein': '26g'}","Egg, Milk, Soy, Wheat"
Breakfast,Hardee’s® Made from Scratch Biscuits™,Monster Biscuit®,"It starts with bacon, then a sausage patty, two folded eggs and Swiss and American cheese all piled high on a freshly-baked Made from Scratch Biscuit™.","{'Serving Size': '258g', 'Calories': '820', 'Calories from Fat': '530', 'Fat': '59g', 'Saturated Fat': '24g', 'Trans Fat': '0.5g', 'Cholesterol': '385mg', 'Sodium': '1930mg', 'Carbohydrates': '39g', 'Dietary Fiber': '2g', 'Sugars': '4g', 'Protein': '32g'}","Egg, Milk, Soy, Wheat"
Breakfast,Hardee’s® Made from Scratch Biscuits™,Chorizo and Egg Biscuit,,"{'Serving Size': '184g', 'Calories': '550', 'Calories from Fat': '290', 'Fat': '33g', 'Saturated Fat': '15g', 'Trans Fat': '0g', 'Cholesterol': '260mg', 'Sodium': '1390mg', 'Carbohydrates': '45g', 'Dietary Fiber': '3g', 'Sugars': '4g', 'Protein': '21g'}","Egg, Milk, Soy, Wheat"
Breakfast,Burritos and more,Bacon Grilled Cheese Breakfast Sandwich ,"The Grilled Cheese Breakfast Sandwich loaded with American and Swiss Cheese, Folded Egg, and Bacon. ","{'Serving Size': '184g', 'Calories': '550', 'Calories from Fat': '280', 'Fat': '32g', 'Saturated Fat': '13g', 'Trans Fat': '0.5g', 'Cholesterol': '210mg', 'Sodium': '1410mg', 'Carbohydrates': '43g', 'Dietary Fiber': '2g', 'Sugars': '3g', 'Protein': '34g'}","Egg, Milk, Soy, Wheat"
Breakfast,Hardee’s® Made from Scratch Biscuits™,Biscuit ‘N’ Gravy™,Freshly-baked Made from Scratch Biscuit™ smothered in sausage gravy.,"{'Serving Size': '228g', 'Calories': '450', 'Calories from Fat': '220', 'Fat': '24g', 'Saturated Fat': '12g', 'Trans Fat': '0g', 'Cholesterol': '10mg', 'Sodium': '1320mg', 'Carbohydrates': '50g', 'Dietary Fiber': '3g', 'Sugars': '3g', 'Protein': '9g'}","Milk, Soy, Wheat"
Breakfast,Hardee’s® Made from Scratch Biscuits™,"Bacon, Egg & Cheese Biscuit ","Folded egg, slices of crispy bacon and American cheese all on a freshly-baked Made from Scratch Biscuit™.","{'Serving Size': '157g', 'Calories': '480', 'Calories from Fat': '260', 'Fat': '29g', 'Saturated Fat': '13g', 'Trans Fat': '0g', 'Cholesterol': '185mg', 'Sodium': '1250mg', 'Carbohydrates': '38g', 'Dietary Fiber': '2g', 'Sugars': '3g', 'Protein': '18g'}","Egg, Milk, Soy, Wheat"
Breakfast,Burritos and more,Sausage Grilled Cheese Breakfast Sandwich ,"The Grilled Cheese Breakfast Sandwich loaded with American and Swiss Cheese, Folded Egg, and a Sausage Patty.","{'Serving Size': '209g', 'Calories': '660', 'Calories from Fat': '390', 'Fat': '43g', 'Saturated Fat': '17g', 'Trans Fat': '0.5g', 'Cholesterol': '225mg', 'Sodium': '1460mg', 'Carbohydrates': '43g', 'Dietary Fiber': '2g', 'Sugars': '3g', 'Protein': '34g'}","Egg, Milk, Soy, Wheat"
Breakfast,Burritos and more,Steak & Egg Burrito,"Scrambled Eggs, Charbroiled Steak, Shredded Cheese, and Fresh Salsa Wrapped in a Warm Flour Tortilla.","{'Serving Size': '297g', 'Calories': '630', 'Calories from Fat': '330', 'Fat': '36g', 'Saturated Fat': '14g', 'Trans Fat': '0g', 'Cholesterol': '390mg', 'Sodium': '1570mg', 'Carbohydrates': '37g', 'Dietary Fiber': '2g', 'Sugars': '3g', 'Protein': '35g'}","Egg, Soy, Wheat"
Breakfast,Breakfast Sides,Hash Rounds® (large),"Crispy, Poppable Potato Rounds.","{'Serving Size': '173g', 'Calories': '560', 'Calories from Fat': '330', 'Fat': '37g', 'Saturated Fat': '7g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '710mg', 'Carbohydrates': '52g', 'Dietary Fiber': '5g', 'Sugars': '0g', 'Protein': '5g'}",Wheat
Breakfast,Breakfast Sides,Hash Rounds® (medium),"Crispy, Poppable Potato Rounds.","{'Serving Size': '119g', 'Calories': '390', 'Calories from Fat': '230', 'Fat': '26g', 'Saturated Fat': '4.5g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '490mg', 'Carbohydrates': '36g', 'Dietary Fiber': '4g', 'Sugars': '0g', 'Protein': '3g'}",Wheat
Breakfast,Breakfast Sides,Hash Rounds®  (small),"Crispy, Poppable Potato Rounds.","{'Serving Size': '108g', 'Calories': '350', 'Calories from Fat': '210', 'Fat': '23g', 'Saturated Fat': '4g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '440mg', 'Carbohydrates': '32g', 'Dietary Fiber': '3g', 'Sugars': '0g', 'Protein': '3g'}",Wheat
Breakfast,Burritos and more,Chorizo and Egg Burrito,,"{'Serving Size': '321g', 'Calories': '780', 'Calories from Fat': '410', 'Fat': '46g', 'Saturated Fat': '15g', 'Trans Fat': '0g', 'Cholesterol': '515mg', 'Sodium': '1540mg', 'Carbohydrates': '53g', 'Dietary Fiber': '5g', 'Sugars': '3g', 'Protein': '39g'}","Egg, Soy, Wheat"
Green Burrito,Side Items,Side of Shredded Cheese,,"{'Serving Size': '21g', 'Calories': '80', 'Calories from Fat': '60', 'Fat': '7g', 'Saturated Fat': '4g', 'Trans Fat': '0g', 'Cholesterol': '20mg', 'Sodium': '135mg', 'Carbohydrates': '0g', 'Dietary Fiber': '0g', 'Sugars': '0g', 'Protein': '5g'}",
Green Burrito,Side Items,Side of Guacamole,,"{'Serving Size': '77g', 'Calories': '100', 'Calories from Fat': '70', 'Fat': '8g', 'Saturated Fat': '1g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '270mg', 'Carbohydrates': '5g', 'Dietary Fiber': '2g', 'Sugars': '3g', 'Protein': '1g'}",
Green Burrito,Side Items,Side of Ground Beef,,"{'Serving Size': '99g', 'Calories': '160', 'Calories from Fat': '80', 'Fat': '9g', 'Saturated Fat': '3.5g', 'Trans Fat': '0.5g', 'Cholesterol': '45mg', 'Sodium': '660mg', 'Carbohydrates': '5g', 'Dietary Fiber': '3g', 'Sugars': '1g', 'Protein': '15g'}",
Green Burrito,Side Items,Side of Chips,,"{'Serving Size': '57g', 'Calories': '300', 'Calories from Fat': '150', 'Fat': '17g', 'Saturated Fat': '3g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '35mg', 'Carbohydrates': '35g', 'Dietary Fiber': '3g', 'Sugars': '0g', 'Protein': '4g'}",
Green Burrito,Side Items,Side of Pinto Beans,Pinto beans topped with cotija cheese,"{'Serving Size': '106g', 'Calories': '90', 'Calories from Fat': '15', 'Fat': '1.5g', 'Saturated Fat': '1g', 'Trans Fat': '0g', 'Cholesterol': '5mg', 'Sodium': '440mg', 'Carbohydrates': '13g', 'Dietary Fiber': '3g', 'Sugars': '1g', 'Protein': '6g'}",
Green Burrito,Side Items,Side of Cilantro-Lime Rice,Cilantro-lime rice topped with pico de gallo,"{'Serving Size': '96g', 'Calories': '90', 'Calories from Fat': '0', 'Fat': '5g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '330mg', 'Carbohydrates': '21g', 'Dietary Fiber': '0g', 'Sugars': '4g', 'Protein': '2g'}",
Green Burrito,Side Items,Side of Crema,,"{'Serving Size': '33g', 'Calories': '90', 'Calories from Fat': '80', 'Fat': '9g', 'Saturated Fat': '6g', 'Trans Fat': '0g', 'Cholesterol': '35mg', 'Sodium': '15mg', 'Carbohydrates': '1g', 'Dietary Fiber': '0g', 'Sugars': '0g', 'Protein': '1g'}",
Green Burrito,Side Items,Side of Green Sauce,,"{'Serving Size': '82g', 'Calories': '35', 'Calories from Fat': '20', 'Fat': '2g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '540mg', 'Carbohydrates': '6g', 'Dietary Fiber': '1g', 'Sugars': '3g', 'Protein': '1g'}",
Green Burrito,Side Items,Side of Chicken,,"{'Serving Size': '90g', 'Calories': '140', 'Calories from Fat': '50', 'Fat': '6g', 'Saturated Fat': '1.5g', 'Trans Fat': '0g', 'Cholesterol': '80mg', 'Sodium': '720mg', 'Carbohydrates': '3g', 'Dietary Fiber': '0g', 'Sugars': '0g', 'Protein': '19g'}",
Green Burrito,Side Items,Side of Steak,,"{'Serving Size': '100g', 'Calories': '160', 'Calories from Fat': '45', 'Fat': '5g', 'Saturated Fat': '2g', 'Trans Fat': '0g', 'Cholesterol': '55mg', 'Sodium': '1000mg', 'Carbohydrates': '3g', 'Dietary Fiber': '0g', 'Sugars': '0g', 'Protein': '24g'}",
Green Burrito,Side Items,Coke de Mexico,,"{'Serving Size': '355g', 'Calories': '150', 'Calories from Fat': '0', 'Fat': '0g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '85mg', 'Carbohydrates': '39g', 'Dietary Fiber': '0g', 'Sugars': '39g', 'Protein': '0g'}",
Green Burrito,Specialties,Super Nachos - Ground Beef,"Seasoned ground beef with freshly prepared tortilla chips, pinto beans, four-cheese blend and garnished with guacamole, pico de gallo, sour cream and cotija cheese","{'Serving Size': '324g', 'Calories': '740', 'Calories from Fat': '400', 'Fat': '45g', 'Saturated Fat': '18g', 'Trans Fat': '0g', 'Cholesterol': '85mg', 'Sodium': '1260mg', 'Carbohydrates': '53g', 'Dietary Fiber': '8g', 'Sugars': '3g', 'Protein': '29g'}","Milk, Wheat"
Green Burrito,Specialties,Super Nachos - Steak,"Charbroiled steak with freshly prepared tortilla chips, pinto beans, four-cheese blend and garnished with guacamole, pico de gallo, sour cream and cotija cheese","{'Serving Size': '327g', 'Calories': '740', 'Calories from Fat': '390', 'Fat': '43g', 'Saturated Fat': '17g', 'Trans Fat': '0g', 'Cholesterol': '90mg', 'Sodium': '1440mg', 'Carbohydrates': '53g', 'Dietary Fiber': '7g', 'Sugars': '3g', 'Protein': '34g'}","Milk, Soy"
Green Burrito,Specialties,Super Nachos - Chicken,"Charbroiled chicken with freshly prepared tortilla chips, pinto beans, four-cheese blend and garnished with guacamole, pico de gallo, sour cream and cotija cheese","{'Serving Size': '323g', 'Calories': '730', 'Calories from Fat': '390', 'Fat': '44g', 'Saturated Fat': '17g', 'Trans Fat': '0g', 'Cholesterol': '100mg', 'Sodium': '1310mg', 'Carbohydrates': '52g', 'Dietary Fiber': '7g', 'Sugars': '3g', 'Protein': '32g'}","Milk, Soy, Wheat"
Green Burrito,Specialties,"Rice, Beans & Chips Platter","Add a platter to any entrée, includes pinto beans, cilantro-lime rice and freshly prepared tortilla chips","{'Serving Size': '230g', 'Calories': '340', 'Calories from Fat': '90', 'Fat': '10g', 'Saturated Fat': '2.5g', 'Trans Fat': '0g', 'Cholesterol': '5mg', 'Sodium': '780mg', 'Carbohydrates': '51g', 'Dietary Fiber': '5g', 'Sugars': '4g', 'Protein': '10g'}",
Green Burrito,Specialties,Quesadilla - Steak,"Charbroiled steak, four-cheese blend and pico de gallo in a grilled flour tortilla","{'Serving Size': '324g', 'Calories': '790', 'Calories from Fat': '360', 'Fat': '39g', 'Saturated Fat': '19g', 'Trans Fat': '0g', 'Cholesterol': '130mg', 'Sodium': '1560mg', 'Carbohydrates': '56g', 'Dietary Fiber': '2g', 'Sugars': '2g', 'Protein': '50g'}","Egg, Milk, Soy, Wheat"
Green Burrito,Specialties,Quesadilla - Chicken,"Charbroiled chicken, four-cheese blend and pico de gallo in a grilled flour tortilla","{'Serving Size': '317g', 'Calories': '780', 'Calories from Fat': '360', 'Fat': '40g', 'Saturated Fat': '19g', 'Trans Fat': '0g', 'Cholesterol': '155mg', 'Sodium': '1310mg', 'Carbohydrates': '56g', 'Dietary Fiber': '2g', 'Sugars': '2g', 'Protein': '46g'}","Egg, Milk, Soy, Wheat"
Green Burrito,Specialties,Quesadilla - Cheese,Four-cheese blend and pico de gallo in a grilled flour tortilla,"{'Serving Size': '226g', 'Calories': '640', 'Calories from Fat': '310', 'Fat': '34g', 'Saturated Fat': '17g', 'Trans Fat': '0g', 'Cholesterol': '75mg', 'Sodium': '590mg', 'Carbohydrates': '53g', 'Dietary Fiber': '2g', 'Sugars': '2g', 'Protein': '26g'}","Egg, Milk, Wheat"
Green Burrito,Specialties,Taco Salad - Steak,"Charbroiled steak with pinto beans, shredded lettuce, fresh salsa, four-cheese blend and hot sauce garnished with guacamole, pico de gallo, sour cream and cotija cheese in a crispy flour tortilla bowl","{'Serving Size': '567g', 'Calories': '880', 'Calories from Fat': '470', 'Fat': '52g', 'Saturated Fat': '17g', 'Trans Fat': '0g', 'Cholesterol': '95mg', 'Sodium': '2200mg', 'Carbohydrates': '60g', 'Dietary Fiber': '9g', 'Sugars': '9g', 'Protein': '44g'}","Milk, Soy, Wheat"
Green Burrito,Specialties,Taco Salad - Chicken,"Charbroiled chicken with pinto beans, shredded lettuce, fresh salsa, four-cheese blend and hot sauce garnished with guacamole, pico de gallo, sour cream and cotija cheese in a crispy flour tortilla bowl","{'Serving Size': '560g', 'Calories': '870', 'Calories from Fat': '470', 'Fat': '53g', 'Saturated Fat': '17g', 'Trans Fat': '0g', 'Cholesterol': '120mg', 'Sodium': '1950mg', 'Carbohydrates': '60g', 'Dietary Fiber': '9g', 'Sugars': '9g', 'Protein': '40g'}","Milk, Soy, Wheat"
Green Burrito,Specialties,Taco Salad - Ground Beef,"Seasoned ground beef with pinto beans, shredded lettuce, fresh salsa, four-cheese blend and hot sauce garnished with guacamole, pico de gallo, sour cream and cotija cheese in a crispy flour tortilla bowl","{'Serving Size': '569g', 'Calories': '890', 'Calories from Fat': '500', 'Fat': '56g', 'Saturated Fat': '18g', 'Trans Fat': '1g', 'Cholesterol': '90mg', 'Sodium': '1890mg', 'Carbohydrates': '62g', 'Dietary Fiber': '11g', 'Sugars': '9g', 'Protein': '35g'}","Milk, Wheat"
Green Burrito,Specialties,5 Piece Chicken Taquitos,"Chicken taquitos are served on a bed of shredded lettuce and garnished with pico de gallo, sour cream and cotija cheese","{'Serving Size': '242g', 'Calories': '640', 'Calories from Fat': '380', 'Fat': '43g', 'Saturated Fat': '9g', 'Trans Fat': '0g', 'Cholesterol': '80mg', 'Sodium': '1130mg', 'Carbohydrates': '56g', 'Dietary Fiber': '6g', 'Sugars': '2g', 'Protein': '33g'}","Milk, Soy, Wheat"
Green Burrito,Specialties,3 Piece Chicken Taquitos,"Chicken taquitos are served on a bed of shredded lettuce and garnished with pico de gallo, sour cream and cotija cheese","{'Serving Size': '159g', 'Calories': '410', 'Calories from Fat': '250', 'Fat': '28g', 'Saturated Fat': '7g', 'Trans Fat': '0g', 'Cholesterol': '50mg', 'Sodium': '720mg', 'Carbohydrates': '34g', 'Dietary Fiber': '3g', 'Sugars': '1g', 'Protein': '21g'}","Milk, Soy, Wheat"
Green Burrito,Tacos,Chicken Soft Taco,"A flour tortilla filled with charbroiled chicken, shredded lettuce, hot sauce and four-cheese blend and garnished with pico de gallo, sour cream and cotija cheese","{'Serving Size': '133g', 'Calories': '250', 'Calories from Fat': '110', 'Fat': '12g', 'Saturated Fat': '6g', 'Trans Fat': '0g', 'Cholesterol': '60mg', 'Sodium': '740mg', 'Carbohydrates': '18g', 'Dietary Fiber': '1g', 'Sugars': '1g', 'Protein': '16g'}",
Green Burrito,Tacos,Crunchy Beef Taco,"A crisp corn tortilla filled with seasoned ground beef, shredded lettuce, hot sauce and  four-cheese blend","{'Serving Size': '95g', 'Calories': '210', 'Calories from Fat': '100', 'Fat': '12g', 'Saturated Fat': '4.5g', 'Trans Fat': '0g', 'Cholesterol': '35mg', 'Sodium': '380mg', 'Carbohydrates': '16g', 'Dietary Fiber': '3g', 'Sugars': '1g', 'Protein': '11g'}",
Green Burrito,Burritos,"Bean, Rice & Cheese Burrito","Pinto beans, pico de gallo, cilantro-lime rice, hot sauce and a four-cheese blend folded and grilled in a flour tortilla","{'Serving Size': '425g', 'Calories': '730', 'Calories from Fat': '230', 'Fat': '26g', 'Saturated Fat': '12g', 'Trans Fat': '0g', 'Cholesterol': '50mg', 'Sodium': '1190mg', 'Carbohydrates': '93g', 'Dietary Fiber': '6g', 'Sugars': '8g', 'Protein': '27g'}",
Green Burrito,Burritos,The Grilled Burrito - Steak,"Charbroiled steak, pinto beans, pico de gallo, cilantro-lime rice, hot sauce and a four-cheese blend folded and grilled in a flour tortilla.","{'Serving Size': '486g', 'Calories': '840', 'Calories from Fat': '280', 'Fat': '31g', 'Saturated Fat': '14g', 'Trans Fat': '0g', 'Cholesterol': '105mg', 'Sodium': '2030mg', 'Carbohydrates': '88g', 'Dietary Fiber': '6g', 'Sugars': '6g', 'Protein': '50g'}",
Green Burrito,Burritos,The Grilled Burrito - Beef,"Seasoned ground beef, pinto beans, pico de gallo, cilantro-lime rice, hot sauce and a four-cheese blend folded and grilled in a flour tortilla","{'Serving Size': '487g', 'Calories': '850', 'Calories from Fat': '310', 'Fat': '35g', 'Saturated Fat': '15g', 'Trans Fat': '0.5g', 'Cholesterol': '95mg', 'Sodium': '1720mg', 'Carbohydrates': '90g', 'Dietary Fiber': '8g', 'Sugars': '7g', 'Protein': '41g'}",
